,QUESTION,ENG,TYPE ENTITE,ROLE SEMANTIQUE,COMMENTAIRES
5803,En quelle année Kefou qen prend-elle fin ?,When,Time,,
678,A qui Mrs Benett s'oppose-t-elle?,Who,Human,,
19410,Qui redonne vie au son Stranglers ?,Who,Human,,
7754,Pendant combien de temps pouvait-on être exempté de taxes en étant un colon ?,When,Time,,
1573,Combien de Coupe Stanley remportent les Bruins au cours de cette ligue à six ?,How_Many,Measure,,
1553,Combien d'équipes de peintres étaient en charge de la réalisation du décor ?,How_Many,Measure,,
18355,Qui décide de la reconnaissance ou non d'une maladie professionnelle ?,Who,Human,,
281,A quel endroit l'A16 Rotterdam rejoindra l'A16 ?,Where,Location,,
7090,Où les camps samis du parc ont-ils tendance à se situer ?,Where,Location,,
9956,Quand est née Philippine de Sales ?,When,Time,,
4553,De combien de kilomètres le réseau autoroutier a-t-il été étendu en 1968?,How_Many,Measure,,
17951,Qui a une grande importance sociale ?,Who,Human,,
5248,De qui sont inspirés le style et la couleur des chaussures outre Michael Jackson ?,Who,Human,,
6821,Où est bâtie leur première synagogue ?,Where,Location,,
10345,Quand le premier long métrage de Walt Disney a-t-il été produit ?,When,Time,,
5978,En quelle année est devenu John Stein le nouveau entraîneur des Celts?,When,Time,,
18112,Qui aide Zeus à provoquer un orage?,Who,Human,,
1626,Combien de buts a marqué Sow ?,How_Many,Measure,,
1910,Combien de navires possède Olaf?,How_Many,Measure,,
19419,Qui relève les allusions à la vermine ?,Who,Human,,
2391,Combien y a t-il des joueurs défensifs dans l'équipe ?,How_Many,Measure,,
1220,Avec qui Estella dit-elle avoir l'intention de se marier?,Who,Human,,
6003,En quelle année est sorti Portal 2 ?,When,Time,,
2066,Combien de rang de dentition possède la baleine imaginée par Collodi ?,How_Many,Measure,,
1695,Combien de concerts ont précédés la tournée française ?,How_Many,Measure,,
1505,Combien d'items du MBI sont dédiés à la dépersonnalisation ?,How_Many,Measure,,
2033,Combien de points d'avance possède Lille sur l'Olympique de Marseille ?,How_Many,Measure,,
18550,Qui est l'accessoiriste des Stranglers Mark I ?,Who,Human,,
6988,Où habite Myrddin ?,Where,Location,,
4665,De quand datent les parcs à l'anglaise ?,When,Time,,
64,A l'exécution de qui Dickens a-t-il assisté ?,who,Human,,
18498,Qui est chargée de tenir compagnie à Ada?,Who,Human,,
9887,Quand débute le processus d'extermination en masse sur le camp de Belzec?,When,Time,,
18657,Qui est la grande-duchesse Vera Constantinovna pour Olga ?,Who,Human,,
1471,Combien d'habitants vivent à Montrésor ?,How_Many,Measure,,
7367,Où sont construits les espaces verts du campus de Lincoln Center ?,Where,Location,,
17661,Qui a créé l'Automobile Club féminin?,Who,Human,,
5904,En quelle année a été fondée la Via Aurelia ?,When,Time,,
5805,En quelle année Manuel Olivencia Ruiz devient-il commissaire général de l'Exposition Universelle?,When,Time,,
18513,Qui est devenu la femme de Fielding en 1747?,Who,Human,,
19043,Qui est échangé au profit du retour de Harry Broadbent par les Sénateurs ?,Who,Human,,
10544,Quand sort leur quatrième album studio ?,When,Time,,
18113,Qui aide la reine à apprendre son métier de reine ?,Who,Human,,
17690,Qui a donné le statut de Ville d'Empire à Sélestat ?,Who,Human,,
1826,Combien de lieux composent le patrimoine de Sélestat ?,How_Many,Measure,,
2095,Combien de sections comporte Etudes de moeurs ?,How_Many,Measure,,
7018,Où l'épave fut elle localisée ?,Where,Location,,
5784,En quelle année Dunciad Variorum a-t-elle été écrite?,When,Time,,
19145,Qui introduit l'architecture Renaissance ?,Who,Human,,
498,A quelle distance Eden Hazard marque un but ?,0,Measure,,
704,A qui demande t'il a plusieurs reprises sa libération ?,Who,Human,,
194,A quand remonte cette première montée ?,When,Time,,
6481,Jusqu'à quand était t-il impossible d'aller vers l'Allemagne depuis Sélestat ?,When,Time,,
19052,Qui est-ce qui a persuadé les directeurs de la Clyde Iron Works à effectuer des tests?,Who,Human,,
17949,Qui a un accident ?,Who,Human,,
2107,Combien de soldats les Britanniques ont-ils déployés en Palestine?,How_Many,Measure,,
10328,Quand le mouvement Carfree voit-il le jour?,When,Time,,
5898,En quelle année a été découvert l'allèle nul pour la caséine ?,When,Time,,
19552,Qui se charge de l'affaire de vol?,Who,Human,,
18070,Qui a été témoins des lourdeurs de la Chancellerie ?,Who,Human,,
7243,Où se situe Zafarraya ?,Where,Location,,
19428,Qui remplace Patrick au poste d'entraîneur ?,Who,Human,,
19831,Qui était Marcus Furius Camillius ?,Who,Human,,
9823,Quand a été évoqué pour la première fois dans un écrit le sapin de noël ?,When,Time,,
9688,Quand Yohannes se retire-t-il de la région de Saati ?,When,Time,,
9767,Quand a réellement débuté le programme de conservation ?,When,Time,,
19898,Qui était le président du club qui est proposé à Zamora ?,Who,Human,,
584,A quelle période de l'histoire se déroule cette coupe du monde ?,When,Time,,
19307,Qui pense que les français aiment leur voiture?,Who,Human,,
2269,Combien de types existent-ils pour la tomme ?,How_Many,Measure,,
10170,Quand l'édition au volume unique est elle sortie?,When,Time,,
17869,Qui a profité des exagérations de Höss ?,Who,Human,,
18396,Qui effectue le rêve à une reprise ?,Who,Human,,
18151,Qui assurent la protection des Lettrés  ?,Who,Human,,
18333,Qui doit terminer la monoplace ?,Who,Human,,
18904,Qui est le tuteur d'Esther?,Who,Human,,
1399,Combien d'années avant J-C trouve-t-on les premières chèvres apprivoisées ?,How_Many,Measure,,
18380,Qui dément avoir été empoisonné par William Priestley ?,Who,Human,,
7601,Par qui sont provoquées les plaies ?,Who,Human,,
10499,Quand se déroule l'intrigue de l'histoire coopérative par rapport à l'histoire solo dans Portal 2 ?,When,Time,,
9854,Quand commence l'enregistrement des chevaux issus des lignées de chevaux arabes ?,When,Time,,
7584,Par qui le groupe est il accompagné pour son concert ?,Who,Human,,
1669,Combien de charretier sont mobilisés pour la construction du château ?,How_Many,Measure,,
7530,Par qui Abbon est-il tué ?,Who,Human,,
6171,En quelle année les Pyrénées béarnaises sont-elles labellisées Pays d'art et d'histoire ?,When,Time,,
19679,Qui sont ses parents ?,Who,Human,,
7096,Où les galeries extérieures étaient elles clouées ?,Where,Location,,
4681,De quand la première version d'un moteur à explosion date-t-elle?,When,Time,,
18624,Qui est l'inventeur du cyclisme moderne?,Who,Human,,
1582,Combien de Mega Drive ont été vendus à la fin de l'année 1994 ?,How_Many,Measure,,
6705,Où Lady dort-elle habituellement ?,Where,Location,,
17918,Qui a réalisé la séquence pendant laquelle le nez de Pinocchio s'allonge ?,Who,Human,,
619,A quelle époque de l'année avait lieu linspection du syndicat de la race ?,When,Time,,
6723,Où Nauru présente-t-elle des plans pour réhabiliter l'île ?,Where,Location,,
609,A quelle âge meurt Timothy Shelley ?,0,Measure,,
19826,Qui était Edward Marsh pour Churchill ?,Who,Human,,
7332,Où se trouve la statue colossale de Vairocana ?,Where,Location,,
402,A quel âge Menelik II devient-il Dejazmatch ?,0,Measure,,
18473,Qui est aidé par la Haganah et le Palmach?,Who,Human,,
17860,Qui a poussé la création du personnage de Grignotin?,Who,Human,,
6676,Où Churchill est-il lors du Jeudi noir ?,Where,Location,,
5753,En quelle année  le conseil municipal  traitant le projet de la ligne 7 a-t-il eu lieu ?,When,Time,,
607,A quelle vitesse les lahars descendent-ils lors de l'éruption du mont saint helens ?,How_Many,Measure,,
19680,Qui sont à l'origine de la diffusion des idées de Newton au XVIIe siècle ?,Who,Human,,
19628,Qui sont les descendants des Vaccéens ?,Who,Human,,
54,A l'Antiquité quel était la nationalité du marchand Diogène ?,0,Nationality,,
18730,Qui est le dessinateur de la Volkswagen Coccinelle?,Who,Human,,
18799,Qui est le ministre des affaires étrangères français ?,Who,Human,,
1611,Combien de blanchissages est-ce que Brimsek parvient à faire avant la fin de la saison ?,How_Many,Measure,,
1799,Combien de juifs arrivent au camp en juin?,How_Many,Measure,,
1662,Combien de chambres contient l'hôtel Ibis possédant un accès direct à la structure de soins?,How_Many,Measure,,
7127,Où ont fuit les grecques refusant la soumission aux ottomans?,Where,Location,,
1075,"Au sein de la demeure, où se situe le premier laboratoire équipé scientifiquement aux Etats-Unis ?",Where,Location,,
420,A quelle Eglise Yohannes IV est-il attaché ?,0,Organization,,
2069,Combien de religieuses peut-on trouver à Saint-Jacques en 1920 ?,How_Many,Measure,,
17650,Qui a convaincu l'Europe du XVIIIe de la pureté de la Grèce antique ?,Who,Human,,
2108,Combien de soldats les taxis ont-ils emmenés sur le front pendant l'épisode des taxis de la Marne?,How_Many,Measure,,
514,A quelle espèce appartiennent les Penaidae?,0,Abstract,,
415,A quel âge se marie Churchill ?,0,Measure,,
1888,Combien de mort les soirs de Old Firm ont-ils causé à Glasgow entre 1996 et 2003 ?,How_Many,Measure,,
18891,Qui est le seul juge de Mr Allworthy tel qu'il est décrit par Fielding?,Who,Human,,
2133,Combien de temps Merchant a-t-il passé à enregistrer les répliques de Wheatley ?,How_Many,Measure,,
7485,Par quel moyen Laurence Rees ne dément pas qu'on a obtenu des confessions de Höss ?,Comment,Comment,,
10437,Quand leurs compositions ont elles été reprises par le groupe Tarmac ?,When,Time,,
17876,Qui a préconisé le  « haut fourneau dans la cour »?,Who,Human,,
17998,"Qui a écrit The Fall of Phaeton; or Harlequin, a captive?",Who,Human,,
19281,Qui participent à la commission financière pour cet emprunt ?,Who,Human,,
5764,En quelle année Cavour obtient-il un poste au pouvoir ?,When,Time,,
19904,Qui était le sélectionneur de l'équipe de France avant 1988 ?,Who,Human,,
19855,Qui était l'adversaire du club lors de son premier match ?,Who,Human,,
4625,De quand date la revendication du tombeau de Merlin?,When,Time,,
6787,Où cette analyse est-elle reprise?,Where,Location,,
20655,À qui profite la liberté économique ?,Who,Human,,
9757,Quand a lieu le concile de Borouméda ?,When,Time,,
336,A quel niveau se situe le quai ?,0,Location,,
9976,Quand est rédigée le Morte d'Arthur ?,When,Time,,
7309,Où se trouvait l'épicentre lors de l'éruption du mont saint helens ?,Where,Location,,
19702,Qui soutient Yohannes lors du retour de Gordon ?,Who,Human,,
1985,Combien de personnes sont blessées suite à l'instauration de l'Etat d'urgence et la répression australienne ?,How_Many,Measure,,
6903,Où est situé le rivage le plus proche ?,Where,Location,,
7003,Où l'a-t-elle rencontré ?,Where,Location,,
1565,Combien d'étudiants profitent des logements du campus ?,How_Many,Measure,,
1366,Combien a duré la période de professionalistion du coureur Bernard Hinault ?,How_Many,Measure,,
6176,En quelle année les chevaux arrivèrent-ils en Australie ?,When,Time,,
7594,Par qui sont administrés les bureaux d'artisans ?,Who,Human,,
7063,"Où le public vote t-il pour ""l'Equipe de l'année"" ?",Where,Location,,
1452,Combien d'espèces sont présentes sur la liste rouge suédoise ?,How_Many,Measure,,
2173,Combien de temps dure la panne de la chambre à gaz lors de la visite de Wilhelm Pfannenstiel et Kurt Gerstein?,How_Many,Measure,,
2105,Combien de soldats doit-on transporter ?,How_Many,Measure,,
6701,Où Harvey Jackson joue-t-il ?,Where,Location,,
18885,Qui est le secrétaire d'Attila ?,Who,Human,,
1750,Combien de fois Fantasia sortira-t-il de nouveau par la suite ?,How_Many,Measure,,
1810,Combien de kilomètres forment l'ensemble des 5 lignes ?,How_Many,Measure,,
19732,"Qui tire sur le chien de la fille de Mr Wilson dans Histoire de Tom Jones, enfant trouvé?",Who,Human,,
1267,Avec qui le connubio allie Cavour ?,Who,Human,,
6772,Où a été trouvé le premier spéciment de Poliositta azurea nigriventer ?,Where,Location,,
6946,Où est-ce que la Super Nintendo a eu un impact fort ?,Where,Location,,
9883,Quand débarque-t-il sur le sol italien ?,When,Time,,
7217,Où se rejoignent les deux bras de la rivière ?,Where,Location,,
19194,Qui logeait dans une pomme de terre ?,Who,Human,,
18173,Qui avait tendance à négliger ses propres enfants ?,Who,Human,,
6780,Où attend il et lutte il ?,Where,Location,,
2223,Combien de temps restent-ils à Naples ?,How_Many,Measure,,
5028,De quelle origine est Nicholas Parisis ?,Where,Location,,
7308,Où se trouvait Barnaba Oriani en 1801 ?,Where,Location,,
18115,Qui aide à réconforter une femme dans ses dernières années ?,Who,Human,,
335,A quel niveau les chevaux inscrits au stud book étaient-ils marqués au fer ?,0,Location,,
17801,Qui a la capacité d'être plus pénible que Mrs Bennet ?,Who,Human,,
5938,En quelle année a-t-on pu prouver la présence humaine vers Rotterdam durant le Mésolithique ?,When,Time,,
2372,Combien retrouve-t-on d'espèces indigènes au Proche et Moyen-Orient ?,How_Many,Measure,,
19588,Qui sera le président de Buena Vista Distribution?,Who,Human,,
1898,Combien de mètres de large fait le Doric ?,How_Many,Measure,,
6948,Où est-ce que la comédie musicale était jouée à Broadway ?,Where,Location,,
1440,Combien d'entreprises co-financent la pavillon américain?,How_Many,Measure,,
486,A quelle date le pays dépose les armes ?,When,Time,,
10426,Quand les troupes anglaises se trouvent-elles piégées par les Allemands à Dunkerque ?,When,Time,,
17845,Qui a participé au match féminin de Wrestlemania xxvi ?,Who,Human,,
6220,En quelle année sont sortis Pinnochio et Fantasia ?,When,Time,,
6804,Où devait se trouver la couche d'eau liquide sur Cérès ?,Where,Location,,
17616,Qui a aime beaucoup Pamela?,Who,Human,,
4663,De quand datent les manuscrits sur la légende de Lailoken ?,When,Time,,
5204,De qui est composé la Kraut line ?,Who,Human,,
2177,Combien de temps dure la traversée du détroit de Magellan ?,How_Many,Measure,,
19492,Qui s'attaque à la politique anti-libérale ?,Who,Human,,
6129,En quelle année le Great Expectations de Mike Newell est-il sorti sur les écrans ?,When,Time,,
9509,Quand Churchill rédige-t-il la Battle of Atlantic ?,When,Time,,
359,A quel poste Churchill est il nommé ?,0,Function,,
9683,Quand Yohannes est-il à l'apogée de son règne ?,When,Time,,
9865,Quand commence le processus de domestications des animaux ?,When,Time,,
9488,Quand Cavour quitte-t-il le gouvernement ?,When,Time,,
19343,Qui possède de nombreux terrains ?,Who,Human,,
9861,Quand commence la guerre des paysans ?,When,Time,,
7447,Où étaient les armes les plus légères sur les navires anglais de puissance équivalente ?,Where,Location,,
10497,Quand saurait-on jouir de la mort ?,When,Time,,
8062,Pour qui la voiture est-elle un moyen d'échapper à la police?,Who,Human,,
10269,Quand le Casino de la Forêt a-t-il ouvert sa première saison ?,When,Time,,
18620,Qui est l'expéditeur de la lettre?,Who,Human,,
1890,Combien de morts fit l'éruption du mont saint helens ?,How_Many,Measure,,
19695,Qui souligne ce relâchement ?,Who,Human,,
1363,Combien a coûté Gervinho au LOSC ?,How_Many,Measure,,
19265,"Qui ouvre la cage, libérant Pinocchio ?",Who,Human,,
18558,Qui est l'amour d'enfance du frère de Pamela?,Who,Human,,
18249,Qui critique-t-elle sur la façon dont sont amenés les changements ?,Who,Human,,
652,A qui Churchill dicte-t-il ses livres ?,Who,Human,,
18402,Qui effectue un arrêt au stand au trente-neuvième tour profitant à Damon Hill ?,Who,Human,,
1547,Combien d'éléphantes médisent-elles ?,How_Many,Measure,,
9938,"Quand est lancée l'opération ""Mille clubs de jeunes""?",When,Time,,
18977,"Qui est surnommé le ""Baron Rouge""?",Who,Human,,
18049,Qui a étudié en XVe siècle la possibilité d'une voiture sans chevaux?,Who,Human,,
1701,Combien de copies du Sūtra du Lotus un monastère doit il avoir ?,How_Many,Measure,,
18165,Qui autre qu'Euler va tenter de résoudre le problème de réciprocité quadratique ?,Who,Human,,
7273,Où se situe le centre spatial guyanais?,Where,Location,,
18436,Qui est Charles IV pour Philippe V ?,Who,Human,,
10333,Quand le navire fut il soulevé ?,When,Time,,
10002,Quand est-ce qu'est réapparu l'intérêt pour l'étude des Amérindiens?,When,Time,,
6474,Jusqu'à quand le mariage de Rick est-il repoussé ?,When,Time,,
10143,Quand l'assaut prend-t-il fin ?,When,Time,,
2101,Combien de soeurs comporte la famille Bennet?,How_Many,Measure,,
481,A quelle date le True Patriot est-il publié?,When,Time,,
5823,En quelle année Otton Ier est sacré ?,When,Time,,
19585,Qui semble impuissant face aux archers à cheval ?,Who,Human,,
2357,Combien mesure la hauteur des piliers de béton ?,How_Many,Measure,,
1596,Combien de bandes vertes se trouvent sur le blason ?,How_Many,Measure,,
1413,Combien d'arrêts sont réalisés par le gardien du LOSC ?,How_Many,Measure,,
19102,Qui fut directeur du Tour de France?,Who,Human,,
282,A quel endroit se trouvait le cimetière clandestin permettant aux juifs séfarades d'enterrer les morts ?,Where,Location,,
2255,Combien de tours bioclimatiques sont présentes le long de l'avenue de l'Europe?,How_Many,Measure,,
19258,Qui ont été les 2 joueurs les plus efficaces des Maroons ?,Who,Human,,
19479,Qui rédige un texte d'introduction dans l'édition italienne ?,Who,Human,,
18671,Qui est la reine élue par les barons?,Who,Human,,
9484,Quand Cavour est-il rappelé par le roi ?,When,Time,,
19128,Qui informe la Reine que Blanche-Neige est toujours vivante ?,Who,Human,,
2240,Combien de titres de champion d'Irlande puis d'Irlande du Nord le club de Belfast remporte-t-il jusqu'en 1948 ?,How_Many,Measure,,
9785,Quand a été fait le dernier recensement de Sélestat ?,When,Time,,
1453,Combien d'espèces sont présentes sur la liste rouge suédoise ?,How_Many,Measure,,
9847,Quand cette route a-t-elle été ouverte à nouveau ?,When,Time,,
7123,Où naît Sarah ?,Where,Location,,
5160,De qui Attila serait-il le fils ?,Who,Human,,
20660,À qui s'est adressé Hal Thorne ?,Who,Human,,
6395,Grâce à quel moyen de transport les soldats se déplacent-ils pendant la guerre de 14-18?,0,Product,,Moyen de transport
9702,Quand a eu lieu l'offensive sur Tobrouk ?,When,Time,,
2083,Combien de résidences secondaires ont été construites entre 1991 et 2009 ?,How_Many,Measure,,
1886,Combien de monts secondaires complètent la liste ?,How_Many,Measure,,
18420,Qui entretient l'ambiance conte de fées ?,Who,Human,,
10259,Quand la série Les Aventures de Winnie l'ourson a-t-elle été produite?,When,Time,,
7265,Où se situe la tour Sevilla par rapport au site de l'Expo?,Where,Location,,
6183,En quelle année les joueurs utilisant deux consoles ont-ils pu jouer ensemble ?,When,Time,,
18007,Qui a écrit l'Apprentie de Merlin ?,Who,Human,,
7301,Où se sont implantés les diplomates français et britanniques ?,Where,Location,,
18411,Qui enferme Pinocchio dans une cage ?,Who,Human,,
1195,Avec qui Amin al-Husseini s'allie-t-il en Allemagne?,Who,Human,,
19595,Qui sont Céladon et Amélia ?,Who,Human,,
18952,Qui est responsable d'instruire le fils d'Hugues Capet ?,Who,Human,,
6039,En quelle année fut produit Blanche-Neige ?,When,Time,,
7313,Où se trouve Blanche-Neige lorsqu'elle prépare sa tarte aux prunes ?,Where,Location,,
19490,Qui s'appuie de nouveau sur cette analyse en 1996?,Who,Human,,
1556,Combien d'étages avait la structure du Vasa ?,How_Many,Measure,,
18262,Qui de Portal ou Portal 2 est sorti en premier ?,Who,Human,,
45,A combien réduit-il le plan de 145 titres en 1847 ?,How_Many,Measure,,
9721,Quand a eu lieu la traduction de Vegetables Studies ?,When,Time,,
18593,Qui est l'auteur de la démonstration du théorème des deux carrés ?,Who,Human,,
19554,Qui se charge de monter le dessin animé vers la fin de sa réalisation ?,Who,Human,,
210,A quand remonte la domestication de la poule en Asie orientale ?,When,Time,,
1738,Combien de députés sont réunis?,How_Many,Measure,,
19778,Qui voit le groupe comme étant à la marge ?,Who,Human,,
2046,Combien de ponts y a-t-il sur le Doric ?,How_Many,Measure,,
10106,Quand franchit-il le Rhin ?,When,Time,,
764,A qui s'adresse la demande de Catherine de Sienne de déménager à Rome ?,Who,Human,,
6819,Où est basé le cirque ?,Where,Location,,
2078,Combien de réflexion spectaculaire sont elles observées ?,How_Many,Measure,,
9744,Quand a lieu l'exposition temporaire du musée ?,When,Time,,
18607,Qui est l'auteur du scénario de la deuxième publication de l'histoire du film de La Belle et le Clochard ?,Who,Human,,
1595,Combien de bancs comporte le grand navire?,How_Many,Measure,,
9573,Quand John Dyer est-il né ?,When,Time,,
18846,Qui est le prédécesseur de Yohannes IV ?,Who,Human,,
18575,Qui est l'auteur de Faust?,Who,Human,,
4536,De combien de USD était le budget lorsque le scénario a été repris à zéro ?,How_Many,Measure,,
5886,En quelle année a obtenu l'entraîneur Jock l'aménagement des terrains ?,When,Time,,
1852,Combien de match a joué l'Equipe de France ?,How_Many,Measure,,
18597,Qui est l'auteur des Grandes Espérances?,Who,Human,,
2040,Combien de points sont inscrits par le Cameroun ?,How_Many,Measure,,
1625,Combien de buts a inscrit Stewart au total ?,How_Many,Measure,,
9525,Quand Deligiannis regagné son poste de commandement?,When,Time,,
526,A quelle fréquence la peine de mort est prononcée en droit hittite ?,0,Measure,,
19754,Qui utilise le terme servi ?,Who,Human,,
2119,Combien de spectateurs peut accueillir la salle de spectacle du Tanzmatten de Sélestat ?,How_Many,Measure,,
6159,En quelle année le parc a-t-il été étendu ?,When,Time,,
1498,Combien d'individus lisent chaque numéro de Great Expectations chez Mudie?,How_Many,Measure,,
5180,De qui Mohammed Ali est-il l'allié ?,Who,Human,,
6882,Où est placée la scène violente du combat avec le rat ?,Where,Location,,
9990,Quand est-ce le minimum des températures atteint fluctue entre −80 °C et −90 °C?,When,Time,,
19537,Qui s'oppose à la dissolution de l'armée méridionale ?,Who,Human,,
10071,Quand est-ce que le nom de Sélestat a été choisi ?,When,Time,,
10507,"Quand se finit le procès des ""Dix-neuf de Nauru"" ?",When,Time,,
18471,Qui est accusé par Ralph Nader d'être responsable des accidents?,Who,Human,,
6489,Jusqu'à quelle distance peut-on sentir l'odeur des corps entrain de brûler?,0,Measure,,
387,A quel type d'entité correspond la Foundation for Shackleford Horses?,0,Abstract,,
5237,De qui retrouve-t-on l'attitude chez Thomson ?,Who,Human,,
19787,Qui « considérait que la poésie descriptive est un exercice aussi absurde qu'un repas de fêtes composé de sauces » ?,Who,Human,,
2004,Combien de pharmaciens suppléants sont nommés à la pharmacie de Saint-Jacques ?,How_Many,Measure,,
7007,Où l'ambassadeur de Constantinople était invité à se rendre ?,Where,Location,,
500,A quelle distance de Rethymnon se situe Arkadi ?,0,Measure,,
10204,Quand la convention passée entre la Ville et la Compagnie générale de traction a-t-elle été signée?,When,Time,,
19463,Qui restitue les domaines du temple ?,Who,Human,,
7103,Où les membres de la famille Bennet qui le méritent peuvent-ils jouir d'une vie tranquille ?,Where,Location,,
101,A partir de quand Catherine obtient un tombeau ?,When,Time,,
6128,En quelle année le Filarète a décrit un procédé dans Ferriere?,When,Time,,
19270,Qui parle de viser le gouvernement Tory?,Who,Human,,
18622,Qui est l'inventeur de la proéminence d'un sommet ?,Who,Human,,
7375,Où sont envoyés les réfugiés à partir de 2001 ?,Where,Location,,
1463,Combien d'expédition y a eu des kali'na à la capitale?,How_Many,Measure,,
5880,En quelle année a lieu l'affaire de la parricide Mary Blandy?,When,Time,,
19793,Qui échange des lettres avec Thomas Jefferson ?,Who,Human,,
17573,Qui Jésus retrouve-t-il ?,Who,Human,,
5506,Depuis quand la tête d'ours est-elle abandonnée ?,When,Time,,
10476,Quand plusieurs tremblements de terre ont-ils révélé de possibles mouvements de magma lors de l'éruption du mont saint helens ?,When,Time,,
17939,Qui a souhaité se dissocier de l'Empire Ottoman?,Who,Human,,
2265,Combien de types de Pur-sang existe-il ?,How_Many,Measure,,
9605,Quand Nauru porte-t-elle plainte devant la Cour internationale contre l'Australie ?,When,Time,,
2400,Combien y a-t-il de Paris ?,How_Many,Measure,,
1429,Combien d'employés ont été affectés à l'atelier en 2007 ?,How_Many,Measure,,
5962,En quelle année des brigades régionales de police mobile ont-elles été créées?,When,Time,,
7734,Pendant combien de rencontres est-ce que Shore est suspendu ?,When,Time,,
2282,Combien de vierges sont-elles mortes ?,How_Many,Measure,,
475,A quelle date est parue l'autobiographie de Höss ?,When,Time,,
1913,Combien de niveaux possèdent les stations lilloises ?,How_Many,Measure,,
19806,Qui écrit une chanson sur Merlin ?,Who,Human,,
18192,Qui colonisa la région aux alentours de 1600 ?,Who,Human,,
19707,Qui stoppe la production du film ?,Who,Human,,
10147,Quand l'aéroport du Touquet a-t-il été construit ?,When,Time,,
18520,Qui est en charge de la question palestinienne en 1947?,Who,Human,,
4542,De combien de chevaux la turbine Turbomeca est-elle équipée?,How_Many,Measure,,
4568,De combien de mètres une partie du flanc nord du mont saint helens a-t-elle été déplacée lors de son éruption ?,How_Many,Measure,,
19608,Qui sont les 2 détenteurs de All the Year Round?,Who,Human,,
19868,Qui était le chef des Nauruans ?,Who,Human,,
7383,Où sont invités les Gardiner à plusieurs reprises ?,Where,Location,,
633,A quels autres évènement Arkadi est-il comparé ?,0,Event,,
1647,Combien de canots quittent-ils le navire ?,How_Many,Measure,,
1513,Combien d'oeuvres sont présentées en tout dans les pavillons de l'Expo?,How_Many,Measure,,
1822,Combien de lacs occupent l'Antarctique ?,How_Many,Measure,,
9961,Quand est organisé le premier championnat du monde des constructeurs?,When,Time,,
1241,Avec qui Mrs Bennet reste elle à Longbourn ?,Who,Human,,
7222,Où se rendent les Vieux-Catholiques ?,Where,Location,,
6985,Où fut tournée la vidéo intégrale de Fase ?,Where,Location,,
2353,Combien les époux Bennet ont-ils d'enfants ?,How_Many,Measure,,
20649,À qui la guerre qui débute en septembre 1939 oppose les français ?,Who,Human,,
2402,Combien y a-t-il de districts aujourd'hui à Nauru?,How_Many,Measure,,
373,A quel saint est consacrée l'Eglise de l'institut sélestadien ?,0,Human,,
6092,En quelle année la ligne 3 débute-t-elle son fonctionnement ?,When,Time,,
19485,Qui s'accorde à Finnay ?,Who,Human,,
18540,Qui est interdit d'imiter Lydia ?,Who,Human,,
18373,Qui défend l'existence historique de Merlin?,Who,Human,,
10425,Quand les troupeaux sont-ils accompagnés de soldats ?,When,Time,,
6732,Où Xavier Branicki repose-t-il ?,Where,Location,,
19733,Qui traduit Le Hobbit en français ?,Who,Human,,
6970,Où faut-il se rendre pour travailler dans l'industrie?,Where,Location,,
9813,Quand a été rédigé le National Insurance Act ?,When,Time,,
19529,Qui s'oppose fermement au congédiement du gouvernement ?,Who,Human,,
10051,Quand est-ce que la congruence est fausse pour au moins la moitié des valeurs de a comprises entre un et p ?,When,Time,,
10022,Quand est-ce que Kerchoff insiste sur l'importance du secret de la clé ?,When,Time,,
1294,Avec quoi Jiminy Cricket bloque-t-il la page du livre de l'histoire de Pinocchio ?,Who,Human,,
6204,"En quelle année peut-on pour la première fois, voir la chèvre au salon de l'agriculture de Paris ?",When,Time,,
0,"A quoi correspondent les trois années 1967, 1988 et 2008 ?",0,Event,,
18143,Qui arrête l'adjoint de Péneau ?,Who,Human,,
18653,Qui est la fille de Philippe le Bel dont le fils est roi d'Angleterre en 1328 ?,Who,Human,,
1879,Combien de modèles ont-ils le 3 mars 1915 ?,How_Many,Measure,,
7015,Où l'école Kei a-t-elle été fondée ?,Where,Location,,
17602,Qui a accepté la production de Dumbo comme long métrage ?,Who,Human,,
6932,Où est-ce que Green Day enregistre l'album dans un premier temps ?,Where,Location,,
10189,Quand la Nouvelle-Zélande suspend-elle son aide financière à Nauru ?,When,Time,,
17806,Qui a lancé la création de The Stranglers ?,Who,Human,,
10271,Quand le Conseil municipal a-t-il adopté le projet de réseau de Fulgence Bienvenüe?,When,Time,,
1240,Avec qui Mr Collins cherche-t-il à se réconcilier ?,Who,Human,,
159,A partir de quelle année les joueurs du Celtic portent leurs numéros sur leur dos ?,When,Time,,
563,A quelle organisation modiale fait appel Omar Torrijos pour obtenir la souveraineté du Panama?,0,Organization,,
18433,Qui est Catherine de Sienne ?,Who,Human,,
1639,Combien de bénéfice Dickens fait-il à la sortie de son roman ?,How_Many,Measure,,
812,A quoi appartiennent les malédictions terrestres?,What,Thing,,
6483,Jusqu'à quel moment Tolkien rédige-t-il les chapitres sans difficultés ?,0,Time,,
6181,En quelle année les francais arrivent-ils au Péloponnèse?,When,Time,,
18710,Qui est le concurrent de Coppi en finale?,Who,Human,,
7534,Par qui Boromir est-il sensé être tué ?,Who,Human,,
18276,Qui des deux hommes présente un orgueil et une richesses acquise ?,Who,Human,,
